Header,Description,Units
tc_EPID,The identifier of the unique emisison point at the test center.,-
tc_EmissionCategory,The category of the controlled release (e.g. FUGITIVE or VENT),-
tc_EmissionIntent,The intent of the emission controlled release (e.g. Intermittent pneumatic actuator venting),-
tc_EquipmentGroupID,Identifier of the equipment group which the emission point is located on.,-
tc_EquipmentType,The type of equipment the source is located on. ,-
tc_EquipmentUnitID,Identifier of the equipment unit which the emission point is located on.,-
tc_ExpDurationHrs:,Duration of the experiment,hr
tc_ExpEndDatetime,Date time (UTC) the experiment ended.,YYYY-MM-DD hh:mm:ss (UTC)
tc_ExpEPCount:,The number of emission points in an experiment. ,-
tc_ExperimentID,Unique identifier of an experiment. The experiment is the full time period between tc_ExpStartDatetime and tc_ExpEndDatetime. There may have been zero or more controlled releases during any experiment. ,-
tc_ExpPAtmAvg:,Average test atmospheric pressure during the experiment.,mbar
tc_ExpPAtmStd:,Standard deviation of atmospheric pressure during the experiment,mbar
tc_ExpStartDatetime,Date time (UTC) the experiment started.,YYYY-MM-DD hh:mm:ss (UTC)
tc_ExpTAtmAvg,Average ambient temperature during the experiment,deg C
tc_ExpTAtmStd,Standard deviation of ambient temperature during the experiment,deg C
tc_ExpWindDirAvg,Average wind direction during the experiment,degrees clockwise from North 
tc_ExpWindDirStd,Standard deviation of wind direction during the experiment.,degrees
tc_ExpWindSpeedAvg,Average windspeed during the experiment,m/s
tc_ExpWindSpeedStd,Standard deviation of wind speed during the experiment,m/s
tc_Latitude,Latitude of emission source at the test center measured using WGS-84,degrees
tc_LocationStability,Metric calculated from detection reports received for this emission source ID.See test protocol. ,-
tc_Longitude,Longitude of emission source at the test center measured using WGS-84,degrees
tc_maxSolar:,The maximum solar irradiation measured at the test center over the controlled release duration.,W/m2
tc_mBoundingBoxAccuracy:,A true/false value is calculated for each True Positive Detection with a bounding box coordinate set to indicate if the Controlled Release was within the reported bounding box.,
tc_mClosestSensorName:,The name/tag of the closest sensor to the release point,
tc_mDetectionTime:,The time between when a Controlled Release was first emitted and when a detection was first reported to the test center.,hr
tc_mDistanceToClosestSensor:,The distance from the emission source to the closest sensor.,m
tc_meanSolar:,The mean solar irradiation measured at the test center over the controlled release duration.,W/m2
tc_minSolar:,The minimum solar irradiation measured at the test center over the controlled release duration.,W/m2
tc_mLocalizationAccuracy_BoundingBox:,Localization Accuracy is calculated for each True Positive Detection with a bounding box coordinate set as the distance between the center of the reported bounding box and the location where the Controlled Release occurred.,m
tc_mLocalizationAccuracy_SingleCoord:,Localization Accuracy is calculated for each True Positive Detection with a single coordinate pair as the distance between the reported coordinate and the location where the Controlled Release occurred.,m
tc_mLocalizationPrecision:,"The level of precision (correctUnit, correctGroup, or correctFacility) to which a true positive detection report by the performer matches a controlled release. ",
tc_mLocalizationPrecision_BoundingBox:,Localization Precision is calculated for each True Positive Detection with a bounding box coordinate set as the area of the bounding box.,m2
tc_mQuantificationAccuracyAbs:,Quantification Accuracy is calculated for each True Positive detection as the difference between the emission rate reported and the metered emission rate of the matched controlled release.,g/hr
tc_mQuantificationAccuracyRel:,"Quantification Accuracy is calculated as a relative difference for each true positive detection as the absolute difference between the emission rate reported and the metered emission rate of the controlled release, normalized by the metered emission rate of the controlled release.",-
tc_mQuantificationPrecisionAbs:,Quantification Precision is calculated for each true positive detection as the absolute difference between p_EmissionRateLower and p_EmissionRateUpper.,g/hr
tc_mQuantificationPrecisionRel:,Quantification Precision is calculated for each true positive Detection as the absolute difference between p_EmissionRateLower and p_EmissionRateUpper normalized by the metered emission rate of the matched controlled release.,-
tc_NMHCMassFlow,Average mass flowrate of non-methane hydrocarbons metered by the test center when the emission point was operational. ,g/hr
tc_NMHCMassFlowUncertainty,Uncertainty of mass flowrate of non-methane hydrocarbons  metered by the test center when the emission point was operational. ,g/hr
tc_QCFlags,Quality Control flags thrown by METEC system. Boolean string.,-
tc_THCMassFlow,Average mass flowrate of total hydrocarbons metered by the test center when the emission point was operational. ,g/hr
tc_THCMassFlowUncertainty,Uncertainty of mass flowrate of total hydrocarbons  metered by the test center when the emission point was operational. ,g/hr
timeFromClosestControlledRelease: ,For false positives detections the time to the closest unmatched controlled release is calculated,hr
